intv,lr,arima,lstm,lstm1
6,0.914,0.736,0.350,0.272
9,1.0158,0.765,0.174,0.141
12,1.272,0.777,0.173,0.107
15,1.429,0.776,0.195,0.104
18,1.462,0.779,0.158,0.118
21,1.462,0.781,0.217,0.133
24,1.482,0.784,0.198,0.148
27,1.523,0.785,0.235,0.133
30,1.546,0.786,0.224,0.152
33,1.555,0.788,0.223,0.146
36,1.571,0.790,0.307,0.173
39,1.598,0.791,0.230,0.153
42,1.621,0.793,0.353,0.248
45,1.636,0.794,0.396,0.206
48,1.655,0.796,0.440,0.330
51,1.680,0.798,0.537,0.284
54,1.703,0.799,0.440,0.359
57,1.721,0.801,0.529,0.321
60,1.741,0.803,0.506,0.368
63,1.763,0.805,0.496,0.297
66,1.785,0.806,0.436,0.263
69,1.804,0.817,0.448,0.288